Year,Postal_Code,Town,Province,Age,Unmarried_Men,Married_Men,Divorced_Men,Widowed_Men,Total_#_Of_Males,Unmarried_Women,Married_Women,Divorced_Women,Widowed_Women,Total_#_Of_Females
2020,45001,Aulla,MS,0,32,0,0,0,32,30,0,0,0,30
2020,45001,Aulla,MS,1,30,0,0,0,30,34,0,0,0,34
2020,45001,Aulla,MS,2,43,0,0,0,43,39,0,0,0,39
2020,45001,Aulla,MS,3,50,0,0,0,50,35,0,0,0,35
2020,45001,Aulla,MS,4,38,0,0,0,38,29,0,0,0,29
2020,45001,Aulla,MS,5,42,0,0,0,42,27,0,0,0,27
2020,45001,Aulla,MS,6,44,0,0,0,44,41,0,0,0,41
2020,45001,Aulla,MS,7,57,0,0,0,57,51,0,0,0,51
2020,45001,Aulla,MS,8,46,0,0,0,46,43,0,0,0,43
2020,45001,Aulla,MS,9,45,0,0,0,45,67,0,0,0,67
2020,45001,Aulla,MS,10,42,0,0,0,42,39,0,0,0,39
2020,45001,Aulla,MS,11,52,0,0,0,52,49,0,0,0,49
2020,45001,Aulla,MS,12,40,0,0,0,40,54,0,0,0,54
2020,45001,Aulla,MS,13,54,0,0,0,54,39,0,0,0,39
2020,45001,Aulla,MS,14,47,0,0,0,47,43,0,0,0,43
2020,45001,Aulla,MS,15,50,0,0,0,50,42,0,0,0,42
2020,45001,Aulla,MS,16,49,0,0,0,49,55,0,0,0,55
2020,45001,Aulla,MS,17,34,0,0,0,34,39,0,0,0,39
2020,45001,Aulla,MS,18,47,0,0,0,47,41,0,0,0,41
2020,45001,Aulla,MS,19,47,0,0,0,47,46,1,0,0,47
2020,45001,Aulla,MS,20,47,0,0,0,47,41,0,0,0,41
2020,45001,Aulla,MS,21,38,0,0,0,38,39,1,0,0,40
2020,45001,Aulla,MS,22,41,0,0,0,41,41,2,0,0,43
2020,45001,Aulla,MS,23,46,0,0,0,46,36,3,0,0,39
2020,45001,Aulla,MS,24,46,0,0,0,46,42,3,0,0,45
2020,45001,Aulla,MS,25,55,0,0,0,55,37,2,0,0,39
2020,45001,Aulla,MS,26,52,0,0,0,52,39,5,0,0,44
2020,45001,Aulla,MS,27,50,2,0,0,52,38,8,0,0,46
2020,45001,Aulla,MS,28,47,6,0,0,53,40,19,0,0,59
2020,45001,Aulla,MS,29,38,6,0,0,44,30,16,1,0,47
2020,45001,Aulla,MS,30,40,7,0,0,47,52,11,2,0,65
2020,45001,Aulla,MS,31,31,12,1,0,44,34,22,0,0,56
2020,45001,Aulla,MS,32,46,17,0,0,63,43,28,1,0,72
2020,45001,Aulla,MS,33,40,12,0,0,52,33,26,0,0,59
2020,45001,Aulla,MS,34,43,10,1,0,54,20,24,0,0,44
2020,45001,Aulla,MS,35,28,16,0,0,44,26,30,0,0,56
2020,45001,Aulla,MS,36,27,29,0,0,56,25,44,0,0,69
2020,45001,Aulla,MS,37,30,24,1,0,55,14,39,3,0,56
2020,45001,Aulla,MS,38,19,44,0,0,63,12,50,3,0,65
2020,45001,Aulla,MS,39,32,28,1,1,62,18,43,3,0,64
2020,45001,Aulla,MS,40,27,41,3,0,71,29,29,0,0,58
2020,45001,Aulla,MS,41,33,28,6,0,67,16,40,5,0,61
2020,45001,Aulla,MS,42,30,51,3,0,84,13,46,8,0,67
2020,45001,Aulla,MS,43,37,59,3,0,99,32,57,6,2,97
2020,45001,Aulla,MS,44,49,44,5,0,98,25,52,4,0,81
2020,45001,Aulla,MS,45,28,47,6,0,81,16,53,7,0,76
2020,45001,Aulla,MS,46,30,45,5,0,80,22,60,9,1,92
2020,45001,Aulla,MS,47,31,53,7,0,91,13,63,10,0,86
2020,45001,Aulla,MS,48,27,58,6,0,91,19,60,7,2,88
2020,45001,Aulla,MS,49,27,58,4,0,89,16,51,6,1,74
2020,45001,Aulla,MS,50,31,56,2,0,89,13,59,4,3,79
2020,45001,Aulla,MS,51,24,62,9,1,96,6,65,12,4,87
2020,45001,Aulla,MS,52,13,57,9,1,80,11,67,9,6,93
2020,45001,Aulla,MS,53,23,55,8,0,86,12,58,11,2,83
2020,45001,Aulla,MS,54,23,62,8,2,95,14,51,10,1,76
2020,45001,Aulla,MS,55,19,77,3,2,101,6,62,14,5,87
2020,45001,Aulla,MS,56,16,73,6,0,95,9,76,12,4,101
2020,45001,Aulla,MS,57,12,87,8,1,108,8,79,22,2,111
2020,45001,Aulla,MS,58,7,59,8,3,77,13,66,9,4,92
2020,45001,Aulla,MS,59,10,68,7,4,89,13,81,5,6,105
2020,45001,Aulla,MS,60,12,53,8,1,74,7,69,8,6,90
2020,45001,Aulla,MS,61,8,64,9,0,81,4,60,8,4,76
2020,45001,Aulla,MS,62,14,55,1,2,72,0,74,5,10,89
2020,45001,Aulla,MS,63,7,60,5,3,75,5,58,6,8,77
2020,45001,Aulla,MS,64,8,55,2,2,67,4,47,2,8,61
2020,45001,Aulla,MS,65,8,73,9,3,93,3,80,4,5,92
2020,45001,Aulla,MS,66,6,57,2,1,66,2,54,4,6,66
2020,45001,Aulla,MS,67,6,38,2,3,49,3,44,2,7,56
2020,45001,Aulla,MS,68,3,50,1,3,57,1,58,4,15,78
2020,45001,Aulla,MS,69,7,49,1,3,60,2,43,2,9,56
2020,45001,Aulla,MS,70,4,51,1,2,58,3,35,5,14,57
2020,45001,Aulla,MS,71,2,61,1,1,65,2,36,4,12,54
2020,45001,Aulla,MS,72,5,45,2,4,56,1,51,4,21,77
2020,45001,Aulla,MS,73,3,53,3,4,63,1,32,3,22,58
2020,45001,Aulla,MS,74,5,49,2,5,61,0,51,4,22,77
2020,45001,Aulla,MS,75,5,37,2,5,49,3,27,1,21,52
2020,45001,Aulla,MS,76,5,36,1,7,49,1,36,1,32,70
2020,45001,Aulla,MS,77,4,35,0,4,43,2,30,0,26,58
2020,45001,Aulla,MS,78,1,44,2,7,54,1,18,2,22,43
2020,45001,Aulla,MS,79,3,33,1,1,38,1,32,1,24,58
2020,45001,Aulla,MS,80,4,33,3,9,49,3,23,2,42,70
2020,45001,Aulla,MS,81,3,30,1,6,40,1,20,2,29,52
2020,45001,Aulla,MS,82,7,19,0,10,36,2,11,0,34,47
2020,45001,Aulla,MS,83,2,35,1,7,45,0,23,1,29,53
2020,45001,Aulla,MS,84,5,17,0,4,26,0,16,1,31,48
2020,45001,Aulla,MS,85,0,15,1,6,22,0,12,0,33,45
2020,45001,Aulla,MS,86,0,17,0,2,19,5,11,0,32,48
2020,45001,Aulla,MS,87,1,16,0,6,23,1,8,0,28,37
2020,45001,Aulla,MS,88,0,16,0,6,22,1,5,1,20,27
2020,45001,Aulla,MS,89,0,7,0,2,9,3,9,0,31,43
2020,45001,Aulla,MS,90,0,8,0,3,11,2,2,0,23,27
2020,45001,Aulla,MS,91,0,8,0,4,12,1,2,0,24,27
2020,45001,Aulla,MS,92,1,2,0,4,7,1,0,0,21,22
2020,45001,Aulla,MS,93,1,6,0,1,8,1,0,0,10,11
2020,45001,Aulla,MS,94,0,4,0,3,7,0,1,0,11,12
2020,45001,Aulla,MS,95,1,0,0,2,3,1,0,0,10,11
2020,45001,Aulla,MS,96,1,0,0,1,2,0,0,0,7,7
2020,45001,Aulla,MS,97,0,0,0,0,0,2,0,0,9,11
